city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax
Belo Horizonte,133,4,4,3,6,not acept,not furnished,1500,7000,800
São Paulo,38,1,1,1,14,not acept,furnished,1620,2800,279
São Paulo,73,2,2,1,7,acept,not furnished,1100,3500,100
São Paulo,155,3,4,2,4,acept,not furnished,1500,2000,150
São Paulo,63,2,2,1,15,acept,not furnished,357,3200,50
São Paulo,58,2,1,1,1,acept,not furnished,0,1400,0
São Paulo,48,1,1,0,9,not acept,furnished,377,3450,0
São Paulo,210,3,4,3,7,acept,not furnished,1700,2790,834
Belo Horizonte,100,3,2,2,2,acept,not furnished,340,1600,183
São Paulo,94,3,2,2,1,acept,not furnished,1337,3570,140
São Paulo,94,3,3,2,3,acept,furnished,1220,5010,395
São Paulo,76,3,1,1,4,acept,not furnished,1200,2500,267
São Paulo,192,3,3,2,13,acept,not furnished,2100,7800,634
São Paulo,217,3,4,3,1,acept,not furnished,2884,6500,0
São Paulo,68,2,1,1,5,acept,not furnished,610,1400,35
São Paulo,110,3,2,2,2,acept,not furnished,1145,2400,247
Belo Horizonte,95,2,2,1,3,acept,not furnished,660,1600,164
São Paulo,900,4,6,8,0,acept,not furnished,0,15000,4417
São Paulo,34,1,1,0,5,not acept,not furnished,347,1200,45
São Paulo,192,3,4,3,5,acept,not furnished,2000,8000,0
Porto Alegre,62,2,2,1,9,acept,not furnished,350,1800,75
São Paulo,180,3,3,4,0,acept,not furnished,0,3700,184
Campinas,44,1,1,0,3,acept,furnished,350,916,12
Belo Horizonte,100,2,1,1,1,not acept,not furnished,250,1700,116
Rio de Janeiro,140,3,3,1,24,not acept,not furnished,900,1370,100
São Paulo,170,3,3,3,8,acept,furnished,1570,2800,648
São Paulo,100,3,2,2,0,not acept,not furnished,0,1600,150
São Paulo,75,3,2,2,4,acept,not furnished,652,1600,82
Rio de Janeiro,52,2,1,0,2,acept,not furnished,200,1200,43
Campinas,999,5,7,8,0,acept,not furnished,0,14000,667
São Paulo,270,4,4,4,8,acept,not furnished,2200,7000,1500
Belo Horizonte,50,2,1,1,1,acept,not furnished,160,930,60
Campinas,200,3,3,2,0,acept,not furnished,650,2210,184
São Paulo,71,2,2,0,16,acept,not furnished,430,1920,100
São Paulo,500,5,4,6,0,acept,not furnished,0,13000,250
São Paulo,60,2,1,0,0,acept,not furnished,0,1080,94
São Paulo,110,2,1,0,8,acept,not furnished,1100,1300,84
São Paulo,210,3,3,4,0,acept,not furnished,0,3294,276
São Paulo,220,3,4,3,8,acept,not furnished,2021,6000,996
Belo Horizonte,200,3,2,5,0,not acept,not furnished,0,4000,204
São Paulo,130,3,4,3,2,acept,not furnished,2300,4250,502
São Paulo,65,2,2,2,7,acept,furnished,1037,4000,245
São Paulo,96,3,2,2,17,acept,not furnished,804,3200,250
São Paulo,660,4,5,5,12,acept,furnished,4800,20000,1750
Rio de Janeiro,107,3,2,0,7,acept,furnished,1460,3200,270
Rio de Janeiro,105,3,2,0,1,acept,not furnished,740,2200,9
Rio de Janeiro,100,3,2,0,7,acept,not furnished,900,3290,109
São Paulo,287,3,4,4,0,acept,furnished,0,9000,430
Campinas,24,1,1,0,1,not acept,furnished,230,1180,9
São Paulo,22,1,1,0,0,not acept,not furnished,0,976,0
São Paulo,70,1,1,1,0,not acept,not furnished,0,2529,142
Porto Alegre,44,1,1,1,2,acept,furnished,250,1500,17
São Paulo,150,3,2,2,0,not acept,not furnished,0,2500,0
São Paulo,90,1,2,2,9,acept,furnished,998,2900,220
São Paulo,200,4,4,2,8,acept,furnished,3000,2800,830
São Paulo,320,8,4,0,0,acept,not furnished,450,10500,350
Porto Alegre,90,2,1,1,2,not acept,not furnished,550,1700,110
São Paulo,240,4,4,3,9,acept,not furnished,2500,2144,834
São Paulo,154,4,3,3,21,acept,not furnished,1684,7000,1020
São Paulo,60,2,2,2,2,acept,not furnished,2340,3230,284
Campinas,101,3,2,0,5,acept,not furnished,780,2380,91
Porto Alegre,140,3,4,2,0,not acept,not furnished,0,3090,0
São Paulo,500,4,5,8,0,acept,not furnished,0,15000,1850
São Paulo,110,3,3,3,4,acept,not furnished,1195,2350,687
São Paulo,110,3,3,2,0,acept,not furnished,0,4800,50
Belo Horizonte,90,2,2,2,3,acept,not furnished,200,2000,84
São Paulo,384,4,6,4,3,not acept,furnished,3500,15000,344
São Paulo,57,2,1,1,7,acept,not furnished,570,1500,67
São Paulo,160,3,3,2,5,acept,furnished,1650,1500,419
São Paulo,39,1,1,0,8,acept,not furnished,330,1250,19
Campinas,78,1,2,1,4,acept,not furnished,0,2290,143
Porto Alegre,36,1,1,1,0,acept,not furnished,0,762,15
Campinas,70,2,1,1,1,acept,not furnished,558,1200,0
Belo Horizonte,45,1,1,1,4,not acept,furnished,300,3200,0
São Paulo,200,3,4,3,1,acept,not furnished,3500,8500,1250
São Paulo,100,3,3,3,0,acept,not furnished,0,4300,120
São Paulo,42,1,1,1,14,not acept,not furnished,0,5000,0
São Paulo,280,4,4,1,1,acept,furnished,3000,8000,292
São Paulo,28,1,1,1,13,not acept,furnished,615,2800,42
São Paulo,30,1,1,0,0,not acept,furnished,296,1826,30
Belo Horizonte,85,3,2,1,1,acept,not furnished,337,1500,88
Campinas,83,1,1,1,4,not acept,not furnished,500,1080,59
Campinas,85,3,2,2,16,acept,furnished,550,3300,150
Belo Horizonte,90,3,2,2,3,acept,not furnished,325,1600,105
Belo Horizonte,50,2,1,0,5,acept,not furnished,0,900,100
Rio de Janeiro,50,1,1,0,8,acept,not furnished,600,2900,134
Belo Horizonte,300,3,2,3,0,not acept,not furnished,0,6700,539
Porto Alegre,39,1,1,0,7,acept,not furnished,350,850,27
São Paulo,750,4,4,6,0,acept,not furnished,0,15000,2084
Porto Alegre,60,2,1,0,1,acept,not furnished,222,1100,46
Rio de Janeiro,68,2,1,0,4,not acept,not furnished,750,1250,9
São Paulo,70,2,1,1,0,acept,not furnished,230,1250,50
São Paulo,90,2,2,1,6,acept,furnished,900,6500,89
Rio de Janeiro,258,5,6,0,0,acept,not furnished,0,8700,670
São Paulo,200,2,2,6,0,acept,not furnished,0,4500,292
São Paulo,123,2,2,2,6,acept,not furnished,1800,2990,625
São Paulo,127,3,2,2,0,acept,furnished,220,2150,67
Belo Horizonte,180,4,2,2,0,acept,not furnished,0,1800,210
São Paulo,110,3,2,0,0,not acept,not furnished,0,2900,384
Rio de Janeiro,70,2,2,1,7,acept,furnished,585,1719,77
São Paulo,35,1,1,1,8,acept,furnished,720,3000,130
São Paulo,219,3,2,2,0,acept,not furnished,0,2900,150
Rio de Janeiro,25,1,1,0,0,acept,not furnished,50,700,0
Rio de Janeiro,170,4,5,0,10,acept,not furnished,1200,7100,639
Rio de Janeiro,45,1,1,0,8,acept,not furnished,900,1570,98
Belo Horizonte,420,4,4,2,0,not acept,not furnished,0,7000,200
Porto Alegre,46,1,1,0,4,acept,not furnished,0,1040,48
São Paulo,145,3,3,2,1,acept,furnished,1088,5800,250
Belo Horizonte,59,2,2,1,2,acept,not furnished,190,1100,59
Belo Horizonte,225,4,3,0,8,acept,not furnished,1850,7500,466
São Paulo,210,4,4,3,3,acept,not furnished,2270,4675,1110
Porto Alegre,76,1,1,0,0,acept,not furnished,209,1249,52
São Paulo,220,3,4,3,2,not acept,not furnished,2500,5150,1250
São Paulo,109,3,2,2,7,acept,not furnished,1746,2500,134
Belo Horizonte,95,2,1,1,3,acept,not furnished,646,1000,120
São Paulo,32,1,1,0,0,not acept,not furnished,280,1500,50
São Paulo,480,4,6,5,9,acept,not furnished,6660,15000,3063
São Paulo,53,1,1,1,3,acept,not furnished,694,4390,200
São Paulo,40,1,1,0,0,not acept,not furnished,0,780,17
São Paulo,50,1,1,1,4,acept,furnished,500,3223,100
São Paulo,60,1,1,0,0,acept,not furnished,0,1300,255
Porto Alegre,64,2,2,2,7,not acept,not furnished,450,1500,50
Rio de Janeiro,140,3,3,2,4,acept,furnished,2280,12000,535
São Paulo,121,3,3,1,12,acept,not furnished,800,2040,334
Campinas,43,1,1,1,4,acept,furnished,498,2100,84
São Paulo,20,1,1,1,3,not acept,furnished,1700,1360,0
Campinas,58,2,1,1,3,acept,not furnished,289,950,11
Belo Horizonte,570,5,6,7,0,acept,furnished,0,8330,873
São Paulo,88,2,1,1,2,acept,not furnished,980,2790,0
São Paulo,89,3,2,2,19,acept,not furnished,900,6000,184
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0
São Paulo,40,1,1,0,0,acept,not furnished,0,1100,50
Rio de Janeiro,40,1,1,0,1,acept,furnished,386,1950,91
Rio de Janeiro,60,1,2,1,3,acept,not furnished,400,750,80
São Paulo,25,1,1,0,14,acept,not furnished,257,1650,0
Porto Alegre,50,2,1,0,13,acept,not furnished,340,1130,30
Porto Alegre,90,3,1,0,1,acept,not furnished,145,1130,55
São Paulo,173,3,3,3,2,acept,not furnished,3000,2000,825
Campinas,91,3,2,2,12,acept,not furnished,700,2250,175
São Paulo,90,3,2,2,6,not acept,not furnished,1710,1200,109
São Paulo,530,5,6,4,2,acept,furnished,8300,15000,5000
Belo Horizonte,155,1,4,0,4,not acept,not furnished,560,2790,64
São Paulo,40,1,1,0,0,not acept,not furnished,0,1300,0
São Paulo,296,4,5,3,3,acept,not furnished,0,15000,0
São Paulo,87,3,2,1,17,acept,not furnished,850,1400,200
São Paulo,300,3,3,5,0,acept,not furnished,0,5000,584
São Paulo,136,3,3,3,13,acept,not furnished,1430,4206,364
São Paulo,52,2,1,0,4,acept,not furnished,0,1340,0
Porto Alegre,94,2,2,2,8,acept,not furnished,600,2900,230
Rio de Janeiro,300,4,5,3,7,acept,not furnished,3850,12750,750
Rio de Janeiro,100,3,3,1,3,acept,not furnished,850,3229,100
São Paulo,500,4,6,3,0,acept,not furnished,6466,7300,2536
São Paulo,240,3,4,3,3,acept,furnished,3600,4950,1000
Belo Horizonte,308,2,3,3,0,acept,not furnished,0,2000,171
São Paulo,350,4,5,4,15,acept,furnished,2700,4590,1334
São Paulo,75,2,2,0,2,acept,not furnished,570,1450,0
São Paulo,155,3,2,3,4,acept,furnished,2600,11700,667
São Paulo,260,3,5,4,12,acept,not furnished,2227,6000,1468
São Paulo,80,2,2,1,0,not acept,not furnished,0,1500,184
Rio de Janeiro,85,3,1,1,6,acept,not furnished,810,1998,87
São Paulo,120,2,2,2,22,not acept,furnished,1400,3500,375
São Paulo,100,2,2,1,0,acept,not furnished,0,1970,0
São Paulo,240,4,5,4,6,not acept,not furnished,1869,3500,717
São Paulo,360,7,6,6,0,acept,not furnished,0,5270,245
São Paulo,42,1,1,0,0,not acept,not furnished,0,1100,0
São Paulo,33,1,1,1,14,acept,furnished,600,2800,112
Rio de Janeiro,48,1,1,0,1,not acept,not furnished,626,1020,53
Rio de Janeiro,36,1,1,0,5,acept,not furnished,350,1130,42
São Paulo,270,6,3,6,0,acept,not furnished,0,4500,417
Campinas,75,2,1,1,2,acept,not furnished,670,1200,121
Rio de Janeiro,46,2,1,0,3,not acept,not furnished,270,1600,0
São Paulo,350,3,3,3,0,not acept,not furnished,0,10000,1292
Porto Alegre,131,3,3,1,10,acept,furnished,1625,1750,121
Campinas,90,3,2,1,3,acept,not furnished,920,1300,129
Rio de Janeiro,26,1,1,0,4,not acept,not furnished,390,1650,120
Rio de Janeiro,44,1,1,0,3,acept,furnished,400,1100,14
São Paulo,70,2,2,0,0,acept,not furnished,0,1880,0
Belo Horizonte,40,1,1,0,0,not acept,not furnished,0,900,0
Belo Horizonte,320,4,2,4,0,acept,not furnished,0,3200,206
São Paulo,213,2,2,3,0,acept,not furnished,0,5150,0
São Paulo,80,2,1,0,1,not acept,not furnished,0,1100,0
Campinas,70,1,1,0,6,acept,not furnished,500,800,30
Rio de Janeiro,60,2,1,1,5,acept,not furnished,690,1500,25
São Paulo,270,4,4,4,5,acept,not furnished,4500,12850,1834
Rio de Janeiro,70,2,1,1,3,acept,not furnished,800,1300,44
Porto Alegre,300,6,2,2,0,acept,not furnished,0,6000,242
São Paulo,220,4,5,3,14,acept,furnished,2050,12000,750
Porto Alegre,64,2,2,2,7,acept,not furnished,450,1600,34
Rio de Janeiro,80,3,3,1,7,not acept,not furnished,1100,1470,0
São Paulo,56,1,1,0,9,acept,furnished,625,2500,81
São Paulo,161,4,3,2,1,acept,not furnished,1450,10000,467
São Paulo,35,1,1,0,0,acept,not furnished,350,1350,0
São Paulo,720,4,6,5,0,acept,furnished,0,12750,2613
São Paulo,280,4,5,4,6,not acept,not furnished,2500,3200,750
Porto Alegre,96,3,2,0,2,acept,not furnished,408,2100,84
Campinas,236,3,4,4,10,acept,not furnished,1600,11000,440
São Paulo,81,3,2,1,4,acept,not furnished,204,1510,0
São Paulo,62,2,1,1,1,acept,not furnished,580,1650,92
Belo Horizonte,125,3,2,0,2,acept,not furnished,150,1200,69
São Paulo,37,1,1,1,6,acept,furnished,890,4150,110
São Paulo,60,2,2,1,11,acept,not furnished,1680,4000,200
São Paulo,230,4,2,3,1,acept,not furnished,3600,5000,1551
São Paulo,210,4,5,2,1,acept,furnished,3800,8500,0
São Paulo,450,4,3,8,0,acept,not furnished,0,14000,175
São Paulo,234,3,5,4,0,acept,furnished,0,3680,400
Belo Horizonte,135,4,3,2,2,not acept,not furnished,868,2450,308
São Paulo,395,4,5,3,0,acept,not furnished,0,6000,122
Porto Alegre,92,2,2,1,2,acept,not furnished,450,1700,67
São Paulo,412,3,5,6,21,acept,not furnished,2000,3952,459
São Paulo,42,1,1,1,27,acept,not furnished,560,5300,100
São Paulo,33,1,1,0,12,not acept,furnished,385,3000,125
Porto Alegre,28,2,1,1,0,acept,not furnished,0,600,0
São Paulo,190,4,4,2,0,not acept,not furnished,0,4450,223
São Paulo,165,4,3,3,10,acept,furnished,2440,6300,1292
Porto Alegre,44,1,1,0,5,acept,not furnished,355,1200,20
São Paulo,60,2,1,1,4,acept,not furnished,603,1275,109
São Paulo,380,3,3,2,1,acept,not furnished,3580,11000,1084
Rio de Janeiro,73,2,1,0,4,acept,not furnished,375,830,120
Belo Horizonte,19,1,1,0,5,acept,not furnished,620,1100,85
Campinas,230,3,5,4,6,acept,not furnished,1800,7500,0
Porto Alegre,37,1,1,1,2,acept,not furnished,500,2500,0
São Paulo,124,3,2,3,7,acept,not furnished,1450,6600,300
Rio de Janeiro,115,3,2,1,8,acept,furnished,1090,2680,114
Campinas,600,3,3,4,0,acept,not furnished,0,5500,384
Rio de Janeiro,700,5,5,4,0,acept,furnished,1380,15000,1667
Porto Alegre,35,1,1,0,1,acept,not furnished,100,815,17
Belo Horizonte,15,1,1,0,3,not acept,furnished,0,1100,0
Campinas,80,3,2,1,2,acept,not furnished,570,1450,125
Porto Alegre,48,1,1,0,4,acept,not furnished,200,700,38
Belo Horizonte,96,3,2,1,2,acept,not furnished,922,1500,137
São Paulo,150,3,2,1,7,acept,furnished,1843,6715,340
Belo Horizonte,105,3,2,2,2,not acept,not furnished,1681,3300,390
Belo Horizonte,204,4,4,4,22,not acept,furnished,2701,10000,760
Rio de Janeiro,125,3,1,2,11,acept,not furnished,1317,2600,170
Rio de Janeiro,50,2,1,0,3,not acept,not furnished,490,2300,50
São Paulo,250,3,4,3,0,not acept,not furnished,0,3740,234
São Paulo,300,3,4,3,7,acept,furnished,3000,2000,1250
São Paulo,80,2,1,1,0,acept,not furnished,0,1500,55
Rio de Janeiro,130,3,4,1,2,not acept,not furnished,1200,1400,334
São Paulo,120,2,3,0,2,acept,not furnished,904,3300,195
São Paulo,540,3,3,4,9,acept,not furnished,6200,15000,3500
São Paulo,23,1,1,0,23,acept,not furnished,392,2100,41
São Paulo,15,1,1,0,0,not acept,furnished,0,2500,0
São Paulo,72,1,2,2,19,acept,not furnished,900,4000,200
Rio de Janeiro,95,3,2,2,7,acept,not furnished,985,2300,122
São Paulo,330,4,5,4,13,acept,not furnished,2870,10000,1119
São Paulo,75,2,2,2,7,not acept,furnished,1600,6600,400
São Paulo,53,1,1,1,4,acept,not furnished,690,4398,200
São Paulo,178,3,2,1,2,not acept,not furnished,1200,1900,180
São Paulo,150,3,2,0,0,acept,not furnished,0,4000,24
São Paulo,50,2,1,1,4,acept,not furnished,520,1200,30
São Paulo,150,3,2,1,0,not acept,not furnished,0,2500,59
Porto Alegre,25,1,1,0,0,acept,furnished,286,984,11
São Paulo,210,3,4,4,13,not acept,not furnished,3150,12000,1155
Belo Horizonte,75,3,2,1,4,acept,not furnished,600,1500,75
Belo Horizonte,200,2,4,3,12,acept,not furnished,1897,15000,827
São Paulo,350,4,4,0,0,acept,not furnished,0,8000,989
Porto Alegre,49,2,1,1,7,acept,not furnished,360,1150,30
Porto Alegre,40,1,1,0,4,not acept,furnished,0,2000,0
São Paulo,45,1,1,1,2,not acept,furnished,1900,4200,350
São Paulo,46,1,1,1,8,not acept,furnished,900,7600,118
São Paulo,80,2,2,2,15,acept,not furnished,2000,11000,0
São Paulo,30,1,1,0,3,acept,furnished,400,2850,0
São Paulo,80,2,2,2,0,acept,not furnished,50,2200,173
Rio de Janeiro,105,2,2,1,10,acept,not furnished,1780,1530,134
Belo Horizonte,105,3,2,2,7,acept,not furnished,1170,2000,219
São Paulo,114,3,1,0,0,acept,not furnished,0,2570,150
São Paulo,200,3,3,4,0,acept,not furnished,0,7000,425
Porto Alegre,120,3,3,2,5,acept,not furnished,800,3000,167
São Paulo,60,2,2,1,11,acept,not furnished,647,4000,21
São Paulo,90,2,1,1,1,acept,not furnished,1000,3000,50
Rio de Janeiro,53,2,1,0,3,not acept,not furnished,535,1800,50
São Paulo,80,2,2,5,0,acept,not furnished,0,3000,59
Campinas,87,4,2,2,4,acept,not furnished,784,1600,106
Rio de Janeiro,110,3,1,1,1,acept,not furnished,557,5000,188
Belo Horizonte,113,4,2,1,3,acept,not furnished,1587,4000,429
São Paulo,170,3,2,2,5,not acept,not furnished,2199,5000,423
São Paulo,150,3,2,0,1,not acept,not furnished,700,3000,42
Porto Alegre,60,2,2,1,11,acept,not furnished,469,1500,51
Porto Alegre,43,1,1,0,4,not acept,furnished,290,2100,66
São Paulo,130,3,2,2,4,acept,furnished,800,3500,0
São Paulo,69,3,2,0,7,acept,furnished,650,1900,185
Campinas,306,3,2,2,0,acept,not furnished,0,2500,422
São Paulo,187,3,2,3,0,acept,not furnished,500,3500,193
São Paulo,385,3,4,3,0,acept,not furnished,0,9000,1500
São Paulo,355,4,4,3,0,acept,not furnished,0,7300,660
Porto Alegre,90,2,1,1,2,acept,not furnished,405,1100,380
São Paulo,190,3,4,4,0,acept,not furnished,0,5000,275
Campinas,181,2,1,2,0,acept,not furnished,0,1400,132
São Paulo,350,3,5,4,13,acept,not furnished,4000,3490,1750
Belo Horizonte,168,5,3,2,2,acept,not furnished,1443,2900,408
Rio de Janeiro,73,2,1,0,1,acept,not furnished,1600,2800,204
São Paulo,378,5,5,4,4,acept,not furnished,4000,3000,2000
Campinas,60,2,1,1,0,acept,not furnished,0,1300,180
Belo Horizonte,362,4,5,0,19,not acept,not furnished,4138,15000,1975
São Paulo,90,3,2,0,0,acept,not furnished,0,1700,136
Rio de Janeiro,42,1,1,0,4,not acept,furnished,500,1973,79
Rio de Janeiro,56,2,1,1,18,acept,not furnished,568,1000,88
São Paulo,16,1,1,0,1,not acept,not furnished,0,850,30
São Paulo,90,2,2,2,15,not acept,furnished,1400,10000,0
Belo Horizonte,67,1,1,0,13,acept,not furnished,375,850,55
São Paulo,488,4,3,3,0,acept,not furnished,14130,6400,1214
Rio de Janeiro,30,1,1,0,10,acept,not furnished,850,1100,60
São Paulo,290,6,3,4,0,acept,not furnished,0,8000,1525
São Paulo,266,3,3,4,10,acept,not furnished,4700,6400,1500
Campinas,47,2,1,1,4,acept,not furnished,260,900,25
Rio de Janeiro,590,6,6,2,0,acept,furnished,750,8000,975
São Paulo,900,4,9,8,1,acept,not furnished,0,15000,5700
São Paulo,86,2,1,1,0,acept,not furnished,0,2200,110
São Paulo,290,3,3,2,0,acept,furnished,0,15000,1000
Porto Alegre,84,3,2,2,4,acept,not furnished,750,3300,100
São Paulo,160,3,1,2,0,acept,not furnished,0,5000,225
São Paulo,37,1,1,0,3,not acept,furnished,470,3500,127
Campinas,73,3,1,1,4,acept,not furnished,308,850,46
São Paulo,350,4,5,5,17,acept,furnished,2400,15000,2400
Rio de Janeiro,57,1,1,0,2,acept,not furnished,200,1100,10
